 WARN [2019-09-27 14:42:48,985] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2019-09-27 14:42:48,995] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2019-09-27 14:42:48,996] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2019-10-07 16:51:46,045] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2019-10-07 16:51:46,055] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2019-10-07 16:51:46,056] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2019-10-08 12:24:47,979] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2019-10-08 12:24:48,021] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2019-10-08 12:24:48,021] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2019-10-15 10:13:45,362] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2019-10-15 10:13:45,433] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2019-10-15 10:13:45,434] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2019-10-17 15:24:42,829] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2019-10-17 15:24:42,881] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2019-10-17 15:24:42,882] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
